American Airlines Group Inc;B;AAL-RM;1;0.001
Apple Inc;B;AAPL-RM;1;0.001
ADVANCE AUTO PARTS INC ORDSHS;B;AAP-RM;1;0.001
Alcoa Corporation;B;AA-RM;1;0.001
AbbVie Inc;B;ABBV-RM;1;0.001
AmerisourceBergen CorpORD SHS;B;ABC-RM;1;0.001
ABIOMED Ord Shs;B;ABMD-RM;1;0.001
Airbnb Inc ORD SHS CL A;B;ABNB-RM;1;0.001
Abbott Laboratories;B;ABT-RM;1;0.001
Acadia Pharmaceuticals Ord Shs;B;ACAD-RM;1;0.001
Adobe Inc;B;ADBE-RM;1;0.001
Analog Devices Inc ORD SHS;B;ADI-RM;1;0.001
Archer Daniels Midland Ord Shs;B;ADM-RM;1;0.001
Automatic Data Processing Ord;B;ADP-RM;1;0.001
AUTODESK INC ORDSHS;B;ADSK-RM;1;0.001
Ameren Corporation ORD SHS;B;AEE-RM;1;0.001
American Electr Power ORD SHS;B;AEP-RM;1;0.001
The AES Corporation ORD SHS;B;AES-RM;1;0.001
AFLAC Ord Shs;B;AFL-RM;1;0.001
American International ORD SHS;B;AIG-RM;1;0.001
Assurant Ord Shs;B;AIZ-RM;1;0.001
Arthur J Gallagher ORD SHS;B;AJG-RM;1;0.001
Akamai TechnologiesORD SHS;B;AKAM-RM;1;0.001
Albemarle Ord Shs;B;ALB-RM;1;0.001
Align Technology Inc ORD SHS;B;ALGN-RM;1;0.001
ALASKA AIR GROUP INC ORD SHS;B;ALK-RM;1;0.001
ALLSTATE CORP/THE ORDSHS;B;ALL-RM;1;0.001
Applied Materials Inc;B;AMAT-RM;1;0.001
AMC Entertainment Holdings;B;AMC-RM;1;0.001
Advanced Micro Devices Inc;B;AMD-RM;1;0.001
AMETEK INC ORDSHS;B;AME-RM;1;0.001
Amgen Inc;B;AMGN-RM;1;0.001
Ameriprise Financial Inc ORDSH;B;AMP-RM;1;0.001
Amazoncom Inc;B;AMZN-RM;1;0.001
Arista Networks Inc ORD SHS;B;ANET-RM;1;0.001
Ansys Ord Shs;B;ANSS-RM;1;0.001
Anthem Inc;B;ANTM-RM;1;0.001
A O Smith Ord Shs;B;AOS-RM;1;0.001
APA Corporation;B;APA-RM;1;0.001
Air Products and Chemicals Ord;B;APD-RM;1;0.001
Amphenol Corporation;B;APH-RM;1;0.001
Agilent TechnologiesORD SHS;B;A-RM;1;0.001
Atmos Energy Ord Shs;B;ATO-RM;1;0.001
Activision Blizzard Inc;B;ATVI-RM;1;0.001
Broadcom Inc;B;AVGO-RM;1;0.001
Avery Dennison Corp ORD SHS;B;AVY-RM;1;0.001
American Water Works Co ORDSHS;B;AWK-RM;1;0.001
American Express Company;B;AXP-RM;1;0.001
Alteryx Inc;B;AYX-RM;1;0.001
AUTOZONE INC ORDSHS;B;AZO-RM;1;0.001
АДР Alibaba Group Holding LTD;B;BABA-RM;1;0.001
Bank of America Corporation;B;BAC-RM;1;0.001
The Boeing Company;B;BA-RM;1;0.001
Baxter International ORD SHS;B;BAX-RM;1;0.001
Bed Bath  Beyond Inc ORD SHS;B;BBBY-RM;1;0.001
Bath  Body Works Inc ORD SHS;B;BBWI-RM;1;0.001
Best Buy Co Inc ORD SHS;B;BBY-RM;1;0.001
Becton Dickinson Ord Shs;B;BDX-RM;1;0.001
Franklin Resources Ord Shs;B;BEN-RM;1;0.001
Brown Forman Ord Shs Class B;B;BFB-RM;1;0.001
АДР Baidu Inc ORD SHS;B;BIDU-RM;1;0.001
Biogen Inc;B;BIIB-RM;1;0.001
Bilibili ADR Class Z;B;BILI-RM;1;0.001
Bio-Rad Laborat ORD SHS CL A;B;BIO-RM;1;0.001
Booking Holdings Inc;B;BKNG-RM;1;0.001
The Bank of NY Mellon Corp;B;BK-RM;1;0.001
Baker Hughes A Ge CO Cl A;B;BKR-RM;1;0.001
BlackRock Inc;B;BLK-RM;1;0.001
Ball Corporation ORD SHS;B;BLL-RM;1;0.001
Bluebird bio Inc;B;BLUE-RM;1;0.001
Bristol-Myers Squibb Company;B;BMY-RM;1;0.001
Bionano Genomics Inc ORD SHS;B;BNGO-RM;1;0.001
Berkshire Hathaway Cl B;B;BRKB-RM;1;0.001
Broadridge Finan Solut ORD SHS;B;BR-RM;1;0.001
Boston Scientific Corporation;B;BSX-RM;1;0.001
BorgWarner Inc ORD SHS;B;BWA-RM;1;0.001
Beyond Meat Ord Shs;B;BYND-RM;1;0.001
Conagra Brands Inc ORD SHS;B;CAG-RM;1;0.001
Cardinal Health Ord Shs;B;CAH-RM;1;0.001
Carrier Global Corp ORD SHS;B;CARR-RM;1;0.001
Caterpillar Inc;B;CAT-RM;1;0.001
Cadence Design Systems ORD SHS;B;CDNS-RM;1;0.001
CDW Corporation ORD SHS;B;CDW-RM;1;0.001
Celanese Corpor ORD SHS;B;CE-RM;1;0.001
Cerner Corporation ORD SHS;B;CERN-RM;1;0.001
Citizens Financial Group ORDSH;B;CFG-RM;1;0.001
CF Industries Holdings Inc;B;CF-RM;1;0.001
CHURCH AND DWIGHT COIN ORDSHS;B;CHD-RM;1;0.001
CH Robinson Worldwide Inc;B;CHRW-RM;1;0.001
Charter Communications Inc;B;CHTR-RM;1;0.001
Cincinnati Financial Ord Shs;B;CINF-RM;1;0.001
Cigna Corporation;B;CI-RM;1;0.001
Cleveland Cliffs Ord Shs;B;CLF-RM;1;0.001
Clover Health Investments;B;CLOV-RM;1;0.001
Colgate-Palmolive Company;B;CL-RM;1;0.001
Clorox Ord Shs;B;CLX-RM;1;0.001
Comerica Inc ORD SHS;B;CMA-RM;1;0.001
Comcast Corporation Cl A;B;CMCSA-RM;1;0.001
CME Group Inc;B;CME-RM;1;0.001
CHIPOTLE MEXICAN GRILLORDSHS;B;CMG-RM;1;0.001
Cummins Inc ORD SHS;B;CMI-RM;1;0.001
CMS Energy Corp ORD SHS;B;CMS-RM;1;0.001
Centene Corporation ORD SHS;B;CNC-RM;1;0.001
Cinemark Holdings Inc;B;CNK-RM;1;0.001
CenterPoint Energy ORD SHS;B;CNP-RM;1;0.001
Capital One Financial ORD SHS;B;COF-RM;1;0.001
Coinbase Global Inc;B;COIN-RM;1;0.001
The Cooper Companies ORD SHS;B;COO-RM;1;0.001
ConocoPhillips;B;COP-RM;1;0.001
Costco Wholesale Corporation;B;COST-RM;1;0.001
Coty Inc;B;COTY-RM;1;0.001
Campbell Soup Company;B;CPB-RM;1;0.001
Coupang Inc ORD SHS CL A;B;CPNG-RM;1;0.001
Copart Inc;B;CPRT-RM;1;0.001
Charles River Labor Int ORDSHS;B;CRL-RM;1;0.001
Citigroup Inc;B;C-RM;1;0.001
salesforcecom inc;B;CRM-RM;1;0.001
Cisco Systems Inc;B;CSCO-RM;1;0.001
CSX Corporation ORD SHS;B;CSX-RM;1;0.001
Cintas Ord Shs;B;CTAS-RM;1;0.001
Catalent Inc ORD SHS;B;CTLT-RM;1;0.001
Coterra;B;CTRA-RM;1;0.001
Cognizant Technolog ORDSH CL A;B;CTSH-RM;1;0.001
Corteva Inc ORD SHS;B;CTVA-RM;1;0.001
Citrix Systems IncORD SHS;B;CTXS-RM;1;0.001
CVS Health Corporation;B;CVS-RM;1;0.001
Chevron Corporation;B;CVX-RM;1;0.001
Caesars Entertainment ORD SHS;B;CZR-RM;1;0.001
Delta Air Lines Inc ORD SHS;B;DAL-RM;1;0.001
Dropbox Inc ORD SHS CL A;B;DBX-RM;1;0.001
DuPont de Nemours Inc;B;DD-RM;1;0.001
Deere  CompanyORD SHS;B;DE-RM;1;0.001
Discover Financial Serv Ordshs;B;DFS-RM;1;0.001
Dollar General Corporation;B;DG-RM;1;0.001
QUEST DIAGNOSTICS INCOR ORDSHS;B;DGX-RM;1;0.001
DR Horton Inc;B;DHI-RM;1;0.001
Danaher Corporation ORD SHS;B;DHR-RM;1;0.001
Discovery Inc;B;DISCA-RM;1;0.001
DISH Network Corp ORD SHS CL A;B;DISH-RM;1;0.001
The Walt Disney Company;B;DIS-RM;1;0.001
DraftKings Inc ORD SHS Cl A;B;DKNG-RM;1;0.001
Dollar Tree Inc ORDSHS;B;DLTR-RM;1;0.001
Dover Ord Shs;B;DOV-RM;1;0.001
Dow Inc;B;DOW-RM;1;0.001
Dominos Pizza Inc ORD SHS;B;DPZ-RM;1;0.001
DARDEN RESTAURANTS INCO ORDSHS;B;DRI-RM;1;0.001
Dominion Energy Inc ORD SHS;B;D-RM;1;0.001
Duke Energy Corp ORD SHS;B;DUK-RM;1;0.001
DaVita Inc ORD SHS;B;DVA-RM;1;0.001
Devon Energy Ord Shs;B;DVN-RM;1;0.001
DexCom Inc;B;DXCM-RM;1;0.001
DXC Technology Co ORD SHS;B;DXC-RM;1;0.001
Electronic Arts Inc;B;EA-RM;1;0.001
eBay Inc;B;EBAY-RM;1;0.001
Ecolab Inc;B;ECL-RM;1;0.001
Consolidated Edison Ord Shs;B;ED-RM;1;0.001
